Platval;Actval;Stypeval
Missile Carrier;Shadowing/Intervening;F-8 CRUSADER
Missile Carrier;Tanking;F-101 VOODOO
Missile Carrier;Rescue Helo;F-105 THUNDERCHIEF
Missile Carrier;Shadowing/Intervening;F-106 DELTA DART
Missile Carrier;Tanking;F-102
Missile Carrier;Rescue Helo;AJEET INVINCIBLE
Missile Carrier;Shadowing/Intervening;F-84 THUNDERSTREAK
Missile Carrier;Tanking;F-86 SABRE
Missile Carrier;Rescue Helo;YAK-141 FREESTYLE
Missile Carrier;Shadowing/Intervening;F-7 FISHBED
Missile Carrier;Tanking;TORNADO F3
Missile Carrier;Rescue Helo;SEA HARRIER
Missile Carrier;Rescue Helo;F-5 NORTHRUP
