Platnum;Platval;Actnum;Actval;Stypenum;Stypeval
1;Fighter;1;Reconnaissance;1;F-4 PHANTOM II
2;Fighter Bomber;2;Over the Horizon Targeting (OTHT);2;F-5 TIGER II
3;Attack;3;Training;4;F-14 TOMCAT
4;Bomber;4;Logistics Support;5;F-15 EAGLE
5;Reconnaissance;5;Antisurface Warfare;6;F-16 FIGHTING FALCON
6;Tanker;6;Electronic Warfare (EW);8;F-104 STARFIGHTER
7;Tanker (Boom Only);7;Surveillance;11;F-111
8;Tanker (Drogue Only);8;Search and Rescue (SAR);12;F/A-18 A/B/C/D HORNET
9;Interceptor;9;Escorting;13;EFA/TYPHOON
10;Transport;10;Minelaying;15;F-100
11;Airborne Command Post (ACP);11;Transiting;18;COMMANDO
13;Missile;12;Special Weapons Attack;21;J-35 DRAKEN
14;Electronic Warfare (EW);13;Intruding;22;JAGUAR
15;Antisubmarine Warfare (ASW);14;Electronic Warfare Support (ES);23;SUPER ETENDARD
16;Airborne Early Warning and Control (AEW);15;Communications Relay;27;F-1
17;Maritime Patrol Aircraft (MPA);16;Patrol (Ocean Surveillance);28;F-35XD DRAKEN
18;Search and Rescue (SAR);17;Airlift (Transport);29;TORNADO F3
19;Drone;18;Antisubmarine Warfare (ASW);30;HF-24 MARUT (WIND SPIRIT)
20;Remotely Piloted Vehicle (RPV);20;Towing;31;JA37 VIGGEN
21;Fixed Wing Gunship;21;Air Assault;33;SF-5 FREEDOM FIGHTER
22;Civil, Airliner;22;Interception;34;IAR-91 ORAO
23;Civil, General;23;Electronic Attack (EA);36;KFIR C2
24;Lighter than Air (LTA);24;Policing;37;MIRAGE F1
25;Glider;25;Conventional Attack;38;MIRAGE 3
26;Decoy;26;Medical Evacuation (MEDEVAC);39;MIRAGE 5
27;Helicopter (HELO);27;Mine Countermeasures;40;MIRAGE 50
28;Attack Helicopter;28;Search;41;MIRAGE 2000
29;Helicopter Gunship;29;Refueling/Tanking;44;ALPHA JET
30;Antisubmarine Warfare Helicopter (ASW HELO);30;Interdiction;45;KEFIR
31;Mine Warfare Helicopter;31;Combat Air Patrol (CAP);46;F-6 FARMER
