Platnum;Platval;Actnum;Actval;Stypenum;Stypeval
1;Aircraft Carrier;1;Air Warfare Support;1;CVN GENERAL (ACFT CARRIER, NUCLEAR)
2;Battleship;2;Over the Horizon Targeting (OTHT);3;ENTERPRISE CVN
3;Cruiser;3;Training;5;JOHN F KENNEDY CV
4;Destroyer;4;Logistics Support;6;KITTY HAWK CV
5;Frigate;5;Antisurface Warfare;8;NIMITZ CVN
6;Fast Patrol Boat;6;Electronic Warfare (EW);9;CHARLES DE GAULLE CVN
7;Amphibious;7;Fishery Protection;22;CV GENERAL (ACFT CARRIER, NON-NUCLEAR)
8;LHA/LHD;8;Search and Rescue (SAR);24;MINAS GERAIS CV
9;Amphibious Assault Command Ship (LCC);9;Escorting;26;VEINTICINCO DE MAYO CV
10;Landing Craft (LC);10;Minelaying;27;VIRAAT CV
11;Troop Ship;11;Transiting;36;CVH GENERAL (ACFT CARRIER, HELICOPTER)
12;Tanker/Oiler;12;Naval Surface Fire Support;37;GIUSEPPE GARIBALDI CVH
13;Auxiliary Ship;13;Intruding;38;INVINCIBLE CVH
14;Mine Warfare Ship;14;Amphibious Warfare;39;JEANNE D'ARC CVH
15;Mine Countermeasures Maritime Vessel (MCMV);15;Intelligence Collecting;41;PRINCIPE DE ASTURIAS CVH
16;Hospital Ship;16;Patrol;43;KIEV (MODIFIED) CVH
17;Surfaced Submarine;17;Transport;53;BB GENERAL (BATTLESHIP)
18;Hydrofoil;18;Antisubmarine Warfare (ASW);65;CC GENERAL (CRUISER)
19;Air Cushion Vehicle;20;Towing;77;CG GENERAL (CRUISER, GUIDED MISSILE)
20;Intelligence Collector;21;Special Warfare;83;KARA DDG
21;Survey Vessel;22;Strike Warfare;84;KIROV CGN
22;Non-Military;23;Antiair Warfare;87;KYNDA CG
23;Landing Platform;24;Fishing;90;SLAVA CG
24;Landing Ship;25;Picketing;91;TICONDEROGA CG
25;Command;26;Mine Countermeasures;94;VITTORIO VENETO CG
26;Ocean Research;27;Mine Warfare;119;CH GENERAL (CRUISER, HEAVY)
27;Patrol;28;Marking;120;MOSKVA CH
28;Support;29;Noncombatant Operations;144;DD GENERAL (DESTROYER)
29;Fishing Vessel;30;Underway Replenishment;147;ALLEN M SUMNER FRAM II DD
30;Merchant Vessel;31;Surveying;151;ANSHAN DD
31;Patrol Craft Escort;32;Electronic Warfare Support (ES);152;ARLEIGH BURKE DDG
32;Amphibious General Assault;33;Electronic Attack (EA);153;ASAGIRI DD
33;Missile Control Unit;34;Flight Operations;155;AUDACE DDG
34;Decoy;35;Video Data Linking (Targeting);156;AYANAMI DD
35;Infrared Decoy;36;Plane Guard;158;CARPENTER FRAM I DD
36;Chaff Decoy;37;Rescue Ship/Lifeguard;159;CHARLES F ADAMS (MOD) DD
37;Active Electronic Decoy;38;Special Operations;160;CHARLES F ADAMS DD
1;Aircraft Carrier;39;Shadowing;165;FLETCHER DD
2;Battleship;40;Intervening;166;FORREST SHERMAN (MOD) AND HULL DD
3;Cruiser;41;Nuclear, Biological, Chemical (NBC) Operations;168;GEARING FRAM I DD
4;Destroyer;42;Nuclear Operations;169;GEARING FRAM II DD
5;Frigate;43;Biological Operations;172;HARUNA DDH
6;Fast Patrol Boat;44;Chemical Operations;173;HATAKAZE DDG
7;Amphibious;45;Electronic Protection (EP);174;HATSUYUKI DD
8;LHA/LHD;46;Combat Search and Rescue (CSAR);175;IMPAVIDO DD
9;Amphibious Assault Command Ship (LCC);47;BMD Mission;177;KASHIN (MODIFIED) DD
10;Landing Craft (LC);50;Return To Base (RTB);178;KASHIN DD
11;Troop Ship;115;Surface Activity 1;185;LUDA (TYPE 051) DD
12;Tanker/Oiler;116;Surface Activity 2;187;MINEGUMO DD
13;Auxiliary Ship;117;Surface Activity 3;192;SHIRANE DDH
14;Mine Warfare Ship;118;Surface Activity 4;193;SKORYY DD
15;Mine Countermeasures Maritime Vessel (MCMV);119;Surface Activity 5;194;SOVREMENNYY DDG
16;Hospital Ship;120;Surface Activity 6;195;SPRUANCE DD
17;Surfaced Submarine;121;Surface Activity 7;196;SUFFREN DDG
18;Hydrofoil;122;Surface Activity 8;197;TACHIKAZE DDG
19;Air Cushion Vehicle;123;Surface Activity 9;198;TAKATSUKI DDG
20;Intelligence Collector;124;Surface Activity 10;199;TYPE 42 DDG
21;Survey Vessel;125;Surface Activity 11;202;CASSARD DDG
22;Non-Military;126;Surface Activity 12;203;GEORGES LEYGUES DD
23;Landing Platform;1;Air Warfare Support;204;TOURVILLE DD
24;Landing Ship;2;Over the Horizon Targeting (OTHT);205;HORIZON DDG
25;Command;3;Training;207;TYPE T-53 (MODIFIED-ASW) DD
26;Ocean Research;4;Logistics Support;209;UDALOY DD
27;Patrol;5;Antisurface Warfare;212;IROQUOIS DDG
28;Support;6;Electronic Warfare (EW);213;DARING (TYPE 45) DDG
29;Fishing Vessel;7;Fishery Protection;277;DE GENERAL (DESTROYER, ESCORT)
30;Merchant Vessel;8;Search and Rescue (SAR);279;CASTLE DE
31;Patrol Craft Escort;9;Escorting;296;FF GENERAL (FAST FRIGATE)
32;Amphibious General Assault;10;Minelaying;297;ALMIRANTE CLEMENTE (FF)
33;Missile Control Unit;11;Transiting;299;ALPINO FF
34;Decoy;12;Naval Surface Fire Support;302;BALEARES FF
35;Infrared Decoy;13;Intruding;303;BAPTISTA DE ANDRADE FF
36;Chaff Decoy;14;Amphibious Warfare;307;TYPE 22 FF
37;Active Electronic Decoy;15;Intelligence Collecting;312;CHENGDU FF
1;Aircraft Carrier;16;Patrol;313;CHIKUGO FF
2;Battleship;17;Transport;314;COMANDANTE JOAO BELO FF
3;Cruiser;18;Antisubmarine Warfare (ASW);318;DESCUBIERTA PB
4;Destroyer;20;Towing;319;DUKE (TYPE 23) FF
5;Frigate;21;Special Warfare;320;DURANGO FF
6;Fast Patrol Boat;22;Strike Warfare;324;GODAVARI FF
7;Amphibious;23;Antiair Warfare;325;GRISHA I FF
8;LHA/LHD;24;Fishing;326;GRISHA IV FF
9;Amphibious Assault Command Ship (LCC);25;Picketing;327;GRISHA III FF
10;Landing Craft (LC);26;Mine Countermeasures;329;GRISHA V FF
11;Troop Ship;27;Mine Warfare;331;HVIDBJORNEN FF
12;Tanker/Oiler;28;Marking;332;ISHIKARI FF
13;Auxiliary Ship;29;Noncombatant Operations;333;ISUZU FF
14;Mine Warfare Ship;30;Underway Replenishment;334;JACOB VAN HEEMSKERCK FF
15;Mine Countermeasures Maritime Vessel (MCMV);31;Surveying;335;JIANGDONG (TYPE 053J) FF
16;Hospital Ship;32;Electronic Warfare Support (ES);336;JIANGHU (TYPE 053H) FF
17;Surfaced Submarine;33;Electronic Attack (EA);337;JIANGNAN FF
18;Hydrofoil;34;Flight Operations;338;JOAO COUTINHO FF
19;Air Cushion Vehicle;35;Video Data Linking (Targeting);339;KAREL DOORMAN FF
20;Intelligence Collector;36;Plane Guard;340;KNOX FF
21;Survey Vessel;37;Rescue Ship/Lifeguard;342;KONI FF
22;Non-Military;38;Special Operations;343;KORTENAER FF
23;Landing Platform;39;Shadowing;344;KRIVAK MOD FF
24;Landing Ship;40;Intervening;345;KRIVAK II FF
25;Command;41;Nuclear, Biological, Chemical (NBC) Operations;346;KRIVAK III FF
26;Ocean Research;42;Nuclear Operations;347;LA FAYETTE FF
27;Patrol;43;Biological Operations;349;LEOPARD FF
28;Support;44;Chemical Operations;350;LUPO FF
29;Fishing Vessel;45;Electronic Protection (EP);353;MAESTRALE FF
30;Merchant Vessel;46;Combat Search and Rescue (CSAR);355;MEKO 200 TYPE FF
31;Patrol Craft Escort;47;BMD Mission;356;MIRKA I FF
32;Amphibious General Assault;50;Return To Base (RTB);357;MIRKA II FF
33;Missile Control Unit;115;Surface Activity 1;358;NILS JUEL FF
34;Decoy;116;Surface Activity 2;359;NITEROI FF
35;Infrared Decoy;117;Surface Activity 3;361;OSLO FF
36;Chaff Decoy;118;Surface Activity 4;362;PEDER SKRAM FF
37;Active Electronic Decoy;119;Surface Activity 5;371;RIVER FF
1;Aircraft Carrier;120;Surface Activity 6;372;BRANDENBURG (TYPE 123) FF
2;Battleship;121;Surface Activity 7;373;RUDDEROW FF
3;Cruiser;122;Surface Activity 8;374;SACHSEN (TYPE 124) FF
4;Destroyer;123;Surface Activity 9;375;SAVAGE FF
5;Frigate;124;Surface Activity 10;378;D'ESTIENNE D'ORVES FF
6;Fast Patrol Boat;125;Surface Activity 11;379;TYPE F-2000S FF
7;Amphibious;126;Surface Activity 12;380;ALVARO DE BAZAN FF
8;LHA/LHD;1;Air Warfare Support;382;YUBARI FF
9;Amphibious Assault Command Ship (LCC);2;Over the Horizon Targeting (OTHT);383;BREMEN (TYPE 122A) FF
10;Landing Craft (LC);3;Training;385;OLIVER HAZARD PERRY FFG
11;Troop Ship;4;Logistics Support;386;HALIFAX FF
12;Tanker/Oiler;5;Antisurface Warfare;387;NAJIN FF
13;Auxiliary Ship;6;Electronic Warfare (EW);388;PRESIDENT FF
14;Mine Warfare Ship;7;Fishery Protection;389;SANTA MARIA FF
15;Mine Countermeasures Maritime Vessel (MCMV);8;Search and Rescue (SAR);390;VOSPER MK 5 SAAM FF
16;Hospital Ship;9;Escorting;392;WIELINGEN FF
17;Surfaced Submarine;10;Minelaying;393;FLOREAL FF
18;Hydrofoil;11;Transiting;395;DE ZEVEN PROVINCIEN FF
19;Air Cushion Vehicle;12;Naval Surface Fire Support;396;YAVUZ FFG
20;Intelligence Collector;13;Intruding;397;BARBAROS FFG
21;Survey Vessel;14;Amphibious Warfare;398;TEPE FFG
